TI,TE,TR,resitor,ventoinha,data,hora
41.93,22.15,41,0,0,2021-03-21,15:41:27
42.31,27.59,41,0,0,2021-03-21,15:41:29
43.02,27.59,41,0,0,2021-03-21,15:41:31
42.35,27.58,41,0,0,2021-03-21,15:41:33
43.05,27.57,41,0,0,2021-03-21,15:41:35
42.67,27.56,41,0,0,2021-03-21,15:41:37
43.02,27.58,41,0,0,2021-03-21,15:41:39
43.44,27.58,41,0,0,2021-03-21,15:41:41
44.12,27.58,41,0,0,2021-03-21,15:41:43
43.96,27.59,41,0,0,2021-03-21,15:41:45
43.63,27.59,41,0,0,2021-03-21,15:41:47
41.73,27.59,41,0,0,2021-03-21,15:41:49
40.99,27.59,41,0,0,2021-03-21,15:41:51
40.35,22.15,41,0,0,2021-03-21,15:41:53
39.77,27.61,41,0,0,2021-03-21,15:41:55
39.22,27.6,41,0,0,2021-03-21,15:41:57
40.77,27.6,41,0,0,2021-03-21,15:41:59
40.96,27.61,41,0,0,2021-03-21,15:42:01
40.48,27.61,41,0,0,2021-03-21,15:42:03
40.44,27.61,41,0,0,2021-03-21,15:42:05
39.7,27.61,41,0,0,2021-03-21,15:42:07
39.16,27.62,41,0,0,2021-03-21,15:42:09
39.64,27.62,41,0,0,2021-03-21,15:42:11
40.54,27.62,41,0,0,2021-03-21,15:42:13
40.93,27.62,41,0,0,2021-03-21,15:42:15
41.38,27.63,41,0,0,2021-03-21,15:42:17
41.19,27.62,41,0,0,2021-03-21,15:42:19
39.54,27.63,41,3.22,0,2021-03-21,15:42:21
39.16,27.63,41,0.72,0,2021-03-21,15:42:23
39.57,27.64,41,0.72,0,2021-03-21,15:42:25
39.96,27.62,41,0.72,0,2021-03-21,15:42:27
40.8,27.63,41,0.72,0,2021-03-21,15:42:29
40.8,27.62,41,0.72,0,2021-03-21,15:42:31
41.83,27.63,41,0.72,0,2021-03-21,15:42:33
41.77,27.63,41,0.72,0,2021-03-21,15:42:35
41.44,27.63,41,0.72,0,2021-03-21,15:42:37
41.02,27.65,41,0.72,0,2021-03-21,15:42:39
40.7,27.65,41,0.72,0,2021-03-21,15:42:41
40.51,27.65,41,0.72,0,2021-03-21,15:42:43
40.35,27.65,41,0.72,0,2021-03-21,15:42:45
39.61,27.66,41,3.87,0,2021-03-21,15:42:47
39.38,27.65,41,04.04,0,2021-03-21,15:42:49
39.38,27.65,41,4.53,0,2021-03-21,15:42:51
39.38,27.65,41,6.15,0,2021-03-21,15:42:53
38.25,27.65,41,20.18,0,2021-03-21,15:42:55
38.58,27.66,41,13.74,0,2021-03-21,15:42:57
39.38,27.65,41,8.91,0,2021-03-21,15:42:59
39.74,27.66,41,10.66,0,2021-03-21,15:43:01
39.74,27.65,41,13.7,0,2021-03-21,15:43:03
40.67,27.65,41,4.68,0,2021-03-21,15:43:06
40.57,27.65,41,10.75,0,2021-03-21,15:43:08
39.96,27.66,41,17.43,0,2021-03-21,15:43:10
38.83,27.65,41,27.81,0,2021-03-21,15:43:12
39.22,27.65,41,20.09,0,2021-03-21,15:43:14
39.28,27.65,41,23.09,0,2021-03-21,15:43:16
39.77,27.66,41,19.81,0,2021-03-21,15:43:18
40.32,27.66,41,17.44,0,2021-03-21,15:43:20
41.25,27.66,41,10.58,0,2021-03-21,15:43:22
40.73,27.66,41,20.67,0,2021-03-21,15:43:24
41.35,27.66,41,11.63,0,2021-03-21,15:43:26
40.61,27.67,41,22.49,0,2021-03-21,15:43:28
39.38,27.67,41,32.65,0,2021-03-21,15:43:30
38.9,27.67,41,33.47,0,2021-03-21,15:43:32
38.61,27.66,41,36.34,0,2021-03-21,15:43:34
38.67,27.66,41,36.58,0,2021-03-21,15:43:36
38.74,27.67,41,38.52,0,2021-03-21,15:43:38
39.45,27.66,41,33.3,0,2021-03-21,15:43:40
38.96,27.67,41,43.72,0,2021-03-21,15:43:42
38.9,27.67,41,44.05,0,2021-03-21,15:43:44
38.25,27.66,41,52.92,0,2021-03-21,15:43:46
37.83,27.66,41,57.05,0,2021-03-21,15:43:48
38.54,27.66,41,50.33,0,2021-03-21,15:43:50
38.99,27.65,41,51.37,0,2021-03-21,15:43:52
38.99,27.65,41,55.63,0,2021-03-21,15:43:54
39.67,27.66,41,50.19,0,2021-03-21,15:43:56
39.77,27.66,41,53.84,0,2021-03-21,15:43:58
40.28,27.66,41,49.88,0,2021-03-21,15:44:00
40.25,27.66,41,53.53,0,2021-03-21,15:44:02
40.25,27.66,41,54.12,0,2021-03-21,15:44:04
33.84,27.67,41,100,0,2021-03-21,15:44:06
34.48,27.67,41,93.42,0,2021-03-21,15:44:08
33.87,27.67,41,100,0,2021-03-21,15:44:10
33.52,27.67,41,100,0,2021-03-21,15:44:12
33.93,27.68,41,100,0,2021-03-21,15:44:14
36.67,27.67,41,98,0,2021-03-21,15:44:16
36.45,22.15,41,100,0,2021-03-21,15:44:18
37.8,27.68,41,100,0,2021-03-21,15:44:20
37.61,27.68,41,100,0,2021-03-21,15:44:22
37.19,27.68,41,100,0,2021-03-21,15:44:24
40.44,27.67,41,86.5,0,2021-03-21,15:44:26
39.99,27.67,41,100,0,2021-03-21,15:44:28
39.77,27.66,41,100,0,2021-03-21,15:44:30
38.58,27.68,41,100,0,2021-03-21,15:44:32
39.32,27.67,66,100,0,2021-03-21,15:44:34
39.12,27.67,66,100,0,2021-03-21,15:44:36
39.45,27.67,66,100,0,2021-03-21,15:44:38
39.86,27.68,66,100,0,2021-03-21,15:44:40
42.25,27.69,66,100,0,2021-03-21,15:44:42
41.86,27.69,66,100,0,2021-03-21,15:44:44
43.02,27.7,66,100,0,2021-03-21,15:44:46
43.63,27.68,66,100,0,2021-03-21,15:44:48
43.12,27.69,66,100,0,2021-03-21,15:44:50
42.93,27.68,66,100,0,2021-03-21,15:44:52
43.63,27.7,66,100,0,2021-03-21,15:44:54
43.96,27.7,66,100,0,2021-03-21,15:44:56
43.38,27.69,66,100,0,2021-03-21,15:44:58
43.51,27.68,66,100,0,2021-03-21,15:45:00
43.89,27.68,66,100,0,2021-03-21,15:45:02
43.86,27.67,66,100,0,2021-03-21,15:45:04
43.34,27.67,66,100,0,2021-03-21,15:45:06
44.18,27.64,66,100,0,2021-03-21,15:45:08
45.5,27.61,66,100,0,2021-03-21,15:45:10
44.86,27.58,66,100,0,2021-03-21,15:45:12
45.08,27.58,66,100,0,2021-03-21,15:45:14
45.73,27.57,66,100,0,2021-03-21,15:45:16
45.73,27.56,66,100,0,2021-03-21,15:45:18
46.44,27.57,66,100,0,2021-03-21,15:45:20
46.54,27.57,66,100,0,2021-03-21,15:45:22
47.66,27.56,66,100,0,2021-03-21,15:45:24
47.6,27.59,66,100,0,2021-03-21,15:45:26
47.73,27.59,66,100,0,2021-03-21,15:45:28
46.92,27.6,66,100,0,2021-03-21,15:45:30
